strekkode;vare;beskrivelse;kategori;enhet
0200108300006;Ostelandgang 120G;Coop;mat;stk
0200127300001;Dubai-Style Donut;Coop;mat;stk
0200127600002;Sjokoladedonut;Coop;mat;stk
0204518014232;Kalkunfilet Salt&pepper;Prior;mat;stk
0205254016467;emmental français;;mat;stk
0205500000127;Franskbrød;Randaberg Bakeren;mat;stk
0228631006684;Pork Ribs;Sainsbury's;mat;stk
0236647141442;mini mix;;mat;stk
0242860007175;First Price Filet Steak;Tesco;mat;stk
0260052154131;Mango;Coop;mat;stk
0260745909086;Sweet Burbon Salmon;Marine Harvest;mat;stk
0262336505080;Peppered Turkey Breast;Prima Della;mat;stk
02734699;Mild & snill brunost 480 g;Synnøve;drikke;stk
0300010013343;indian tonic xero 50cl;schweppes;mat;stk
0309546006904;Pølske Likarska;Saltivski Myasokombinat;mat;stk
0310569190235;Palestine Energy Drink;Safad Food AB;drikke;stk
0311000047934;Sweet Chili;Eldorado;mat;stk
0324091208306;Seiloin;Grande Sjømat;mat;stk
0324145104080;Indrefilet Svin;Coop;mat;stk
0334551002535;Black pepper tellicherry;Santa Maria;mat;stk
0350460370039;Datterino Tomater;Mino;mat;stk
0370838930054;fiberlakrits;;mat;stk
0371161020108;Kalvstek Marinerad Stekt 74%;Allman;mat;stk
0382977001540;Grekisk Yogurt Laktosfri;Salakis;mat;stk
0404900026236;Kjøttkakesaus, pulver, tilsett kun vann 45 gram;Toro;drikke;stk
04097440;Jordbærfisk;Candy King;mat;stk
04211587;Lefsegodt 4stk Kanel 230g;Vestlandslefsa;mat;stk
0440522041950;Smørbukk;Nidar;mat;stk
0447005827049;Manchego;Campayo;mat;stk
0450024059841;Riskaker;First Price;mat;stk
04505105;Bratwurst røkt;Folkets;mat;stk
04522980;Red Hot Chili 530 g;Idun;mat;stk
0464316838052;peanuts;coop Norge ferdig preppa;mat;stk
04718567;Bønnesalat;Coop;mat;stk
0600004306377;Egg & rocket with light mayonnaise on a white baguette;Food soul;mat;stk
0613668024709;Macaroni & Cheese Dinner 206g Missisippi Belle 206 g;Mississippi Belle;mat;stk
0614405724135;Hot Chocolate Spoon 40g;Crema Kaffebrenneri;drikke;stk
0627933022628;BCAA 9.7 Roadside Lemonade 348 g;Mutant;mat;stk
0630148301594;Apple & Blackcurrant Crumble;Coffee Dunkers;mat;stk
0632674750013;Toasted Ham & Cheese;Nutrisystem;mat;stk
0634114058826;Chocolate Hazlenut Spread;Tbjp;mat;stk
0634114065633;White Chocolate Coconut;TBJP;mat;stk
0634121058826;Chocolate Hazlenut Spread;Tbjp;mat;stk
0635292900099;Whey Xplode Muscle Builder;Tommi Nutrition;mat;stk
0635292900105;Whey Xplode;Tommi Nutrition;mat;stk
0635292900174;Xplode Whey;Tommi Nutrition;mat;stk
0635292900181;Whey Xplode;Tommi nutrition;mat;stk
0635292900204;Whey Xplode Muscle Builder;Tommi Nutrition;mat;stk
0635292900211;Whey Explode;Tommi Nutrition;mat;stk
0641243998695;Nudler Med Kyllingsmak;Mr lee's;mat;stk
0644216818877;Southwest steak bowl;Lean kitchen;mat;stk
0648436101276;Paldo Volcano Chicken Noodle 140G 140g;Paldo;mat;stk
0648436104222;Jjajang Men 4 x 200 g;Paldo;mat;stk
0658342005919;Pancake Syrup;Promos;mat;stk
0658444301223;Hot Cheddar Popcorn;Magic Time;mat;stk
0670171964540;Popcorn Seasoning Butter 14g;Kernel Season's;mat;stk
0670171964557;Popcorn Seasoning Nacho Cheddar 14g;Kernel Season's;mat;stk
0673367003047;Starch balls 200g;Kimbo;mat;stk
0676804013005;Hummer 300g Atlantic Star 300 g;Geia food;mat;stk
0682430611737;eau artésienne 375 mL;Voss;mat;stk
0684500709399;Cooked Chickpeas 400 g;California Gardens;mat;stk
0690225103091;Basmati Rice Brown;India Gage;mat;stk
0690225108324;Rice India Gate uncooked 1kg;Sella Basmati Rice;mat;stk
0690225109017;Bemisal Basmatiris;Shahi Pakwan;mat;stk
0692004633768;Premium 70%;Freia;mat;stk
0697046270926;Jalapeno Ringar;Yonca;mat;stk
0698426265556;Rainbow Cookies;Ruggero's;mat;stk
0700000006452;Glace vanille chocolat et noisette;Carte d’or;mat;stk
0700000006926;Burrata;;mat;stk
0700000060164;Crave;The organic;mat;stk
0700000369335;Egg bites;Starbucks;mat;stk
0700001970677;Yasser strawberry;;mat;stk
0700002025796;ACE vitamin drink;;drikke;stk
0700003408543;Berlingots fenouil;Abiessence;mat;stk
0700005255558;Pana cotta;Debic;mat;stk
0700007000026;Oatmeal raisin cookies;;mat;stk
0700007543608;Barre de Granola Miel & Amandes Sources;Sources;mat;stk
0700007811059;Coco de paimpol à la bretonne;Bococos;mat;stk
0700008644304;Pancake nature aux pépites de chocolat;Protostars;mat;stk
0700009070355;Mix poulet sans additif;Mix;mat;stk
0700009343244;Pepperoni;Rustica;mat;stk
0700018833033;310 shake snickerdoodle - 310 All In One Meal;;mat;stk
0700019267066;Parisienne;;mat;stk
0700029104177;Sunflower seeds 8 oz;Nuts About Florida;mat;stk
0700030030144;Sinaasappelsap;;mat;stk
0700042025657;Menthe Intense;LIPTON;mat;stk
0700055400434;Sashimi mixte;;mat;stk
0700055404388;Cheese & salmon lovers;Sushi shop;mat;stk
